id,codigo_ibge,nome,uf
1560,2309607,Pacajus,CE
1561,2309706,Pacatuba,CE
1562,2309805,Pacoti,CE
1563,2309904,Pacujá,CE
1572,2310001,Palhano,CE
1573,2310100,Palmácia,CE
1577,2310209,Paracuru,CE
1578,2310258,Paraipaba,CE
1580,2310308,Parambu,CE
1581,2310407,Paramoti,CE
1594,2310506,Pedra Branca,CE
1600,2310605,Penaforte,CE
1601,2310704,Pentecoste,CE
1602,2310803,Pereiro,CE
1606,2310852,Pindoretama,CE
1608,2310902,Piquet Carneiro,CE
1611,2310951,Pires Ferreira,CE
1621,2311009,Poranga,CE
1623,2311108,Porteiras,CE
1624,2311207,Potengi,CE
1626,2311231,Potiretama,CE
1635,2311264,Quiterianópolis,CE
1636,2311306,Quixadá,CE
1638,2311355,Quixelô,CE
1639,2311405,Quixeramobim,CE
1640,2311504,Quixeré,CE
1643,2311603,Redenção,CE
1644,2311702,Reriutaba,CE
1651,2311801,Russas,CE
1653,2311900,Saboeiro,CE
1656,2311959,Salitre,CE
1662,2312205,Santa Quitéria,CE
1666,2312007,Santana do Acaraú,CE
1667,2312106,Santana do Cariri,CE
1710,2312700,Senador Pompeu,CE
1711,2312809,Senador Sá,CE
1722,2312908,Sobral,CE
1724,2313005,Solonópole,CE
1676,2312304,São Benedito,CE
1682,2312403,São Gonçalo do Amarante,CE
1685,2312502,São João do Jaguaribe,CE
1696,2312601,São Luís do Curu,CE
1731,2313104,Tabuleiro do Norte,CE
1733,2313203,Tamboril,CE
1739,2313252,Tarrafas,CE
1740,2313302,Tauá,CE
1741,2313351,Tejuçuoca,CE
2734,3105509,Barão de Monte Alto,MG
3497,3145455,Olhos-d'Água,MG
8607,4212809,Balneário Piçarras,SC
1746,2313500,Trairi,CE
1755,2313559,Tururu,CE
1756,2313609,Ubajara,CE
1760,2313708,Umari,CE
1763,2313757,Umirim,CE
1764,2313807,Uruburetama,CE
669,2914000,Ipirá,BA
1765,2313906,Uruoca,CE
1767,2313955,Varjota,CE
1776,2314102,Viçosa do Ceará,CE
1769,2314003,Várzea Alegre,CE
1778,5300108,Brasília,DF
1798,3200102,Afonso Cláudio,ES
1803,3200201,Alegre,ES
1804,3200300,Alfredo Chaves,ES
1808,3200359,Alto Rio Novo,ES
1810,3200409,Anchieta,ES
1813,3200508,Apiacá,ES
1816,3200607,Aracruz,ES
1821,3200706,Atilio Vivacqua,ES
1823,3200805,Baixo Guandu,ES
1825,3200904,Barra de São Francisco,ES
1831,3201001,Boa Esperança,ES
1833,3201100,Bom Jesus do Norte,ES
1836,3201159,Brejetuba,ES
1839,3201209,Cachoeiro de Itapemirim,ES
1844,3201308,Cariacica,ES
1845,3201407,Castelo,ES
1847,3201506,Colatina,ES
1848,3201605,Conceição da Barra,ES
1849,3201704,Conceição do Castelo,ES
1858,3201803,Divino de São Lourenço,ES
1861,3201902,Domingos Martins,ES
1863,3202009,Dores do Rio Preto,ES
1865,3202108,Ecoporanga,ES
1869,3202207,Fundão,ES
1874,3202256,Governador Lindenberg,ES
1879,3202405,Guarapari,ES
1877,3202306,Guaçuí,ES
1881,3202454,Ibatiba,ES
1884,3202504,Ibiraçu,ES
1885,3202553,Ibitirama,ES
1888,3202603,Iconha,ES
1892,3202652,Irupi,ES
